lemma,form,rank,tier,count,forms
wasser,wasser,235,core,3033,wasser
sicher,sicher,237,core,2996,sicher
vielleicht,vielleicht,238,core,2970,vielleicht
sondern,sondern,239,core,2933,sondern
sprache,sprache,240,core,2917,sprache
beim,beim,244,core,2876,beim
jemand,jemand,245,core,2871,jemand;jemanden;jemandem
zimmer,zimmer,246,core,2870,zimmer
freund,freund,248,core,2864,freund;freunde;freundin;freunden;freundes
abend,abend,249,core,2864,abend;abends
zurück,zurück,250,core,2835,zurück
gar,gar,251,core,2834,gar
stadt,stadt,252,core,2831,stadt;städte
allein,allein,253,core,2817,allein;alleine
davon,davon,256,core,2797,davon
schnell,schnell,260,core,2702,schnell;schneller
recht,recht,262,core,2664,recht;rechts;rechten;rechte
mädchen,mädchen,264,core,2652,mädchen
angst,angst,266,core,2585,angst
bleiben,bleiben,268,core,2574,bleiben;bleibt;blieb;geblieben;bleibe;bleib
denk,denke,269,core,2567,denke;denken
wahrheit,wahrheit,270,core,2552,wahrheit
schön,schön,271,core,2549,schön;schöne;schönes;schönen;schöner;schönste
wohl,wohl,273,core,2535,wohl
vergessen,vergessen,274,core,2523,vergessen;vergiss;vergisst;vergaß;vergesse
finden,finden,275,core,2501,finden;finde;fand;findet;findest;fanden
stehen,steht,276,core,2492,steht;stehen;stehe;standen;stehst
fast,fast,279,core,2452,fast
nacht,nacht,280,core,2441,nacht
fehler,fehler,281,core,2440,fehler;fehlern
kaufen,kaufen,282,core,2430,kaufen;gekauft;kaufte;kaufe;kauft
gegen,gegen,283,core,2406,gegen
warten,warten,284,core,2394,warten;warte;wartet;gewartet;wartete;warteten
wahr,wahr,286,core,2392,wahr;wahre;wahren
paar,paar,287,core,2388,paar
fahren,fahren,288,core,2388,fahren;fährt;gefahren;fuhr;fahre;fährst
auge,augen,289,core,2387,augen;auge
woche,woche,290,core,2376,woche;wochen
weißt,weißt,291,core,2362,weißt
problem,problem,293,core,2352,problem;probleme;problemen;problems
zusammen,zusammen,294,core,2347,zusammen
eltern,eltern,295,core,2345,eltern
alt,alt,296,core,2320,alt;alte;alter;alten;älter;altes
neu,neue,298,core,2317,neue;neuen;neues;neu;neuer
englisch,englisch,299,core,2314,englisch;englische;englischen
tür,tür,302,core,2301,tür;türen;türe
land,land,304,core,2287,land;länder;ländern;landes;lande
genug,genug,305,core,2284,genug
hilfe,hilfe,306,core,2283,hilfe
welch,welche,308,core,2262,welche
erst,erst,311,core,2242,erst;ersten;erste;erster
passieren,passiert,312,core,2238,passiert;passieren;passierte
reden,reden,313,core,2236,reden;rede;redet;geredet;redest;redete
darüber,darüber,314,core,2226,darüber
daran,daran,315,core,2224,daran
die,dies,317,core,2217,dies
dürfen,darf,318,core,2211,darf;dürfen;darfst;dürfte;dürft
bekommen,bekommen,319,core,2210,bekommen;bekam;bekommt;bekomme;bekommst
lesen,lesen,320,core,2199,lesen;gelesen;liest;las;lese;lies
schwer,schwer,321,core,2193,schwer;schwerer;schwere;schweren
wort,wort,324,core,2175,wort;worte;wörter;worten;wortes;wörtern
groß,große,325,core,2133,große;großen;groß;großer;größer;größte
denken,dachte,326,core,2130,dachte;denkt;denkst;denk;dachten
je,je,327,core,2128,je
bruder,bruder,328,core,2128,bruder
scheinen,scheint,329,core,2115,scheint;schien;scheinen;scheinst
glücklich,glücklich,330,core,2113,glücklich;glücklicher;glückliche;glücklichen
zwischen,zwischen,331,core,2110,zwischen
gleich,gleich,332,core,2109,gleich;gleiche;gleichen
darauf,darauf,334,core,2105,darauf
dafür,dafür,336,core,2094,dafür
brauchen,braucht,337,core,2084,braucht;brauchen;brauche;brauchst;brauchte;gebraucht
liegen,liegt,338,core,2080,liegt;liegen
spielen,spielen,339,core,2079,spielen;spielt;gespielt;spiele;spielte;spieler
end,ende,340,core,2077,ende;enden
bald,bald,343,core,2055,bald
während,während,344,core,2051,während
dazu,dazu,346,core,2031,dazu
kaffee,kaffee,349,core,2021,kaffee
früh,früher,350,core,2011,früher;früh;frühen
nein,nein,351,core,2004,nein
nehmen,nehmen,352,core,2004,nehmen;nahm;nimmt;nimm;genommen;nehme
einig,einige,353,core,2003,einige;einigen;einiges;einiger;einig
fällen,gefällt,354,core,1998,gefällt;fällt;fällen
arbeiten,arbeiten,356,core,1957,arbeiten;arbeitet;arbeite;gearbeitet;arbeitete;arbeiter
hoffen,hoffe,357,core,1930,hoffe;hoffen;hofft;gehofft;hoffte
fallen,gefallen,358,core,1929,gefallen;fiel;fallen;falle
heißen,heißt,359,core,1921,heißt;heißen;heiße;hieß
australien,australien,362,core,1912,australien
schwester,schwester,363,core,1907,schwester;schwestern
gefund,gefunden,364,core,1891,gefunden
geschichte,geschichte,365,core,1883,geschichte;geschichten
verstehen,verstehen,367,core,1872,verstehen;verstehe;versteht;verstanden;verstehst
einzig,einzige,368,core,1859,einzige;einzigen;einziges;einziger;einzig
meinung,meinung,369,core,1852,meinung;meinungen
überhaupt,überhaupt,370,core,1851,überhaupt
katze,katze,371,core,1849,katze;katzen
spät,spät,373,core,1842,spät;später
bett,bett,374,core,1831,bett
verloren,verloren,376,core,1819,verloren
zug,zug,377,core,1810,zug;züge
familie,familie,378,core,1808,familie;familien
gott,gott,380,core,1805,gott;gottes;götter
letzt,letzte,381,core,1800,letzte;letzten;letzter
wegen,wegen,383,core,1773,wegen
brief,brief,384,core,1765,brief;briefe
dabei,dabei,385,core,1762,dabei
glück,glück,386,core,1756,glück
ding,dinge,387,core,1754,dinge;dingen;ding
satz,satz,388,core,1753,satz;sätze;satzes;sätzen
hand,hand,389,core,1752,hand;hände;händen
lehren,lehrer,391,core,1723,lehrer;lehren;lehrt;lehre
jung,junge,392,core,1722,junge;jungen;jung;jungs;junger;jüngste
leicht,leicht,394,core,1720,leicht;leichter;leichte
genau,genau,397,core,1698,genau;genauer
zehn,zehn,399,core,1692,zehn
wenig,wenig,402,core,1687,wenig;weniger;wenige;wenigen;wenigsten
nam,namen,403,core,1681,namen
schreiben,schreiben,404,core,1668,schreiben;geschrieben;schreibt;schreibe;schreib;schreibst
fertig,fertig,406,core,1655,fertig
fenster,fenster,407,core,1642,fenster
kaum,kaum,408,core,1639,kaum
kennen,kennt,412,core,1628,kennt;kenne;kennen;kennst;kannte;gekannt
sohn,sohn,415,core,1623,sohn;söhne
bringen,bringen,416,core,1618,bringen;bringt;gebracht;bring;bringe;bringst
eigentlich,eigentlich,417,core,1614,eigentlich
dank,danke,418,core,1604,danke;dank;danken
trinken,trinken,419,core,1600,trinken;trinkt;getrunken;trinke;trinkst;trink
hin,hin,421,core,1597,hin
fünf,fünf,422,core,1593,fünf
richtig,richtig,423,core,1592,richtig;richtige;richtigen;richtiger
bevor,bevor,424,core,1583,bevor
straße,straße,425,core,1583,straße
kopf,kopf,426,core,1578,kopf
beide,beide,428,core,1559,beide;beiden;beides
halten,halten,429,core,1556,halten;hält;hielt;halte;hältst;gehalten
treffen,treffen,432,core,1549,treffen;getroffen;traf;trifft;treffe;trafen
ziemlich,ziemlich,434,core,1515,ziemlich
sofort,sofort,436,core,1503,sofort
weit,weiter,437,core,1501,weiter;weit;weitere;weitem;weiteren;weiteres
leid,leid,439,core,1491,leid;leider
manchmal,manchmal,441,core,1471,manchmal
müde,müde,442,core,1467,müde
schlafen,schlafen,443,core,1455,schlafen;schläft;geschlafen;schlafe
bus,bus,444,core,1453,bus
wichtig,wichtig,445,core,1451,wichtig;wichtiger;wichtige;wichtigste;wichtigsten;wichtiges
sonst,sonst,447,core,1446,sonst
nun,nun,450,core,1438,nun
arzt,arzt,451,core,1437,arzt;ärzte
stund,stunden,452,core,1436,stunden;stunde
bisschen,bisschen,453,core,1433,bisschen
tisch,tisch,454,core,1429,tisch
sorgen,sorgen,458,core,1415,sorgen;sorge;sorgt
hinter,hinter,460,core,1405,hinter
euer,eure,464,core,1397,eure;euer;euren;eurer;eurem
glauben,glaubt,466,core,1394,glaubt;glaubst;glaubte;glaubten;geglaubt;glaub
sonn,sonne,468,core,1380,sonne
krank,krank,471,core,1370,krank
best,beste,475,core,1363,beste;bestes;bester
bereits,bereits,476,core,1363,bereits
nah,nächsten,479,core,1350,nächsten;nächste;nächstes;nahe;nah
meist,meisten,480,core,1344,meisten;meist;meister;meiste
antwort,antwort,481,core,1342,antwort
sprach,sprachen,484,core,1334,sprachen
schlecht,schlecht,485,core,1330,schlecht;schlechte;schlechter;schlechten;schlechtes
tat,tat,487,core,1329,tat
los,los,489,core,1322,los
schwimmen,schwimmen,490,core,1320,schwimmen;schwimmt
tochter,tochter,492,core,1307,tochter;töchter
minute,minuten,493,core,1304,minuten;minute
beschäftigen,beschäftigt,494,core,1297,beschäftigt
fragen,fragte,495,core,1297,fragte;frag;fragt;fragst
also,also,496,core,1293,also
musik,musik,498,core,1292,musik
niemals,niemals,499,core,1283,niemals
lieben,liebt,500,core,1283,liebt;liebst;liebte
film,film,501,core,1283,film;filme
draußen,draußen,504,core,1274,draußen
wagen,wagen,506,core,1272,wagen
verlassen,verlassen,507,core,1266,verlassen;verließ;verlässt
wohnen,wohnt,508,core,1266,wohnt;wohnen;wohne;gewohnt;wohnte;wohnst
grund,grund,509,core,1265,grund;grunde
garten,garten,510,core,1265,garten
klein,kleine,511,core,1262,kleine;kleinen;klein;kleiner;kleines;kleinste
herr,herr,512,core,1260,herr;herrn;herren
bestehen,besteht,514,core,1250,besteht;bestehen
versuchen,versucht,518,core,1247,versucht;versuchen;versuchte;versuche;versuchst;versuchten
stell,stelle,519,core,1246,stelle;stellen
erd,erde,520,core,1240,erde;erden
möglich,möglich,521,core,1235,möglich;möglichen;mögliche
tod,tod,524,core,1228,tod;tode;todes
maria,marias,525,core,1228,marias
sache,sache,526,core,1218,sache;sachen
spaß,spaß,527,core,1213,spaß
vier,vier,528,core,1210,vier
deutschland,deutschland,532,core,1202,deutschland;deutschlands
himmel,himmel,534,core,1200,himmel
spiel,spiel,535,core,1199,spiel
endlich,endlich,536,core,1199,endlich
anders,anders,538,core,1193,anders
idee,idee,539,core,1191,idee;ideen
gebären,geboren,545,core,1174,geboren
reich,reich,546,core,1173,reich;reicher
kalt,kalt,550,core,1164,kalt;kalte;kalten
licht,licht,552,core,1157,licht
stand,stand,553,core,1152,stand
brot,brot,554,core,1148,brot
herz,herz,556,core,1144,herz;herzen;herzens
wahrscheinlich,wahrscheinlich,558,core,1137,wahrscheinlich
her,her,565,core,1129,her
tee,tee,566,core,1124,tee
eigen,eigenen,568,core,1120,eigenen;eigene;eigenes;eigener
seite,seite,570,core,1117,seite;seiten
wünschen,wünschte,572,core,1115,wünschte;wünscht
japan,japan,574,core,1114,japan
kurz,kurz,576,core,1103,kurz;kurze;kurzem;kurzen
polizei,polizei,577,core,1100,polizei
bestimmen,bestimmt,578,core,1100,bestimmt
außer,außer,580,core,1098,außer
stimmt,stimmt,581,core,1094,stimmt
baum,baum,584,core,1088,baum;bäume
deutsch,deutsch,585,core,1087,deutsch;deutschen;deutsche;deutscher
esperanto,esperanto,588,core,1082,esperanto
wett,wetter,589,core,1079,wetter;wette
gedacht,gedacht,592,core,1069,gedacht
erzählen,erzählt,595,core,1060,erzählt;erzählen;erzählte;erzähl;erzähle
stimm,stimme,596,core,1060,stimme;stimmen
fahrrad,fahrrad,597,core,1053,fahrrad
gesicht,gesicht,600,core,1046,gesicht
schuh,schuhe,602,core,1045,schuhe
platz,platz,604,core,1040,platz
langsam,langsam,605,core,1040,langsam;langsamer
art,art,607,core,1031,art
krieg,krieg,609,core,1029,krieg;krieges
falsch,falsch,610,core,1022,falsch;falschen;falsche
schüler,schüler,611,core,1022,schüler;schülern
monat,monat,612,core,1021,monat;monate;monaten;monats
zeigen,zeigen,613,core,1020,zeigen;zeigt;zeigte;gezeigt;zeig;zeige
zukunft,zukunft,614,core,1017,zukunft
muß,muß,615,core,1010,muß
sterben,sterben,616,core,1009,sterben;starb;stirbt;starben
bier,bier,618,core,1004,bier
sommer,sommer,619,core,1003,sommer
völlig,völlig,621,core,999,völlig
schlüssel,schlüssel,622,core,999,schlüssel
bereit,bereit,623,core,990,bereit
erfolg,erfolg,624,core,986,erfolg
fall,fall,626,core,985,fall;falls
lust,lust,628,core,977,lust
milch,milch,629,core,975,milch
egal,egal,630,core,974,egal
menge,menge,631,core,970,menge
tragen,tragen,634,core,961,tragen;trägt;trage;trägst;getragen;trugen
bedeuten,bedeutet,637,core,960,bedeutet;bedeuten
wert,wert,638,core,959,wert
plan,plan,639,core,959,plan
besuchen,besuchen,641,core,957,besuchen;besucht
wein,wein,642,core,956,wein
teil,teil,643,core,955,teil
zwar,zwar,644,core,946,zwar
klar,klar,646,core,944,klar;klaren
welcher,welches,647,core,942,welches;welcher;welchen;welchem
etwa,etwa,648,core,942,etwa
wohin,wohin,649,core,940,wohin
interessieren,interessiert,652,core,938,interessiert;interessieren;interessiere
erinnern,erinnern,653,core,938,erinnern;erinnere;erinnert;erinnerst;erinnerte
telefon,telefon,654,core,937,telefon
bild,bild,655,core,937,bild;bilder
gedanke,gedanken,657,core,935,gedanken;gedanke
suchen,suchen,658,core,934,suchen;suche;sucht;gesucht;suchte;suchst
fuß,fuß,662,core,928,fuß;füße
nachricht,nachricht,663,core,927,nachricht;nachrichten
bitten,bat,665,core,924,bat;bittet
weis,weise,669,core,916,weise;weisen
fest,fest,670,core,915,fest
blume,blumen,671,core,914,blumen;blume
darin,darin,673,core,909,darin
gewöhnlich,gewöhnlich,674,core,908,gewöhnlich
darum,darum,675,core,907,darum
bahnhof,bahnhof,676,core,905,bahnhof
fühlen,fühle,677,core,897,fühle;fühlte;fühlt;fühlst
ändern,ändern,678,core,896,ändern;ändert
sinn,sinn,679,core,892,sinn;sinne
schuld,schuld,680,core,888,schuld
sechs,sechs,681,core,887,sechs
feu,feuer,682,core,884,feuer
büro,büro,683,core,882,büro
woher,woher,684,core,880,woher
vorbei,vorbei,685,core,880,vorbei
frei,frei,688,core,879,frei
arm,arm,689,core,875,arm;armen;arme;armer
obwohl,obwohl,690,core,873,obwohl
nachdem,nachdem,691,core,870,nachdem
gewinnen,gewinnen,692,core,866,gewinnen;gewinnt;gewann
neben,neben,693,core,866,neben
fluss,fluss,694,core,865,fluss;flusses
rauchen,rauchen,698,core,855,rauchen;raucht;geraucht
computer,computer,700,core,853,computer
wohnung,wohnung,702,core,850,wohnung
meer,meer,704,core,847,meer
regen,regen,705,core,847,regen;regens
hoch,hoch,707,core,844,hoch;hohen;hohe;höchste;höher;höchsten
montag,montag,709,core,844,montag;montags
dollar,dollar,710,core,843,dollar
erklären,erklären,711,core,842,erklären;erklärt;erklärte;erkläre
stolz,stolz,712,core,842,stolz
name,name,713,core,841,name
sieben,sieben,714,core,840,sieben
lachen,lachen,715,core,838,lachen;lachte;lacht;lachten;gelacht
natürlich,natürlich,717,core,837,natürlich;natürliche;natürlichen
allem,allem,721,core,833,allem
reis,reise,722,core,832,reise;reisen
kuchen,kuchen,723,core,832,kuchen
haar,haare,724,core,831,haare;haar;haaren
natur,natur,726,core,829,natur
lag,lage,727,core,827,lage;lag;lagen
unterschied,unterschied,728,core,825,unterschied
statt,statt,730,core,820,statt
ziehen,zog,732,core,818,zog;ziehen;zieht;gezogen;ziehe;zieh
stark,stark,733,core,818,stark;stärker;starken;starke
beten,gebeten,734,core,817,gebeten;beten
gestorben,gestorben,735,core,816,gestorben
heiraten,heiraten,736,core,815,heiraten;geheiratet;heiratete;heiratet
dorthin,dorthin,737,core,813,dorthin
singen,singen,738,core,813,singen;singt;gesungen
erfahren,erfahren,739,core,810,erfahren;erfährt;erfuhr
besonders,besonders,740,core,809,besonders
gegenüber,gegenüber,741,core,806,gegenüber
selt,selten,742,core,803,selten
gefragt,gefragt,743,core,800,gefragt
überraschen,überrascht,745,core,798,überrascht;überraschte
moment,moment,747,core,796,moment
plötzlich,plötzlich,748,core,796,plötzlich
freude,freude,751,core,793,freude
voll,voller,752,core,793,voller;voll
schwierig,schwierig,753,core,792,schwierig;schwierige;schwieriger
wieviel,wieviel,754,core,792,wieviel
boden,boden,755,core,791,boden
überall,überall,756,core,789,überall
erwarten,erwartet,757,core,787,erwartet;erwarten;erwarte
krankenhaus,krankenhaus,758,core,787,krankenhaus
geschehen,geschehen,759,core,786,geschehen;geschieht;geschah
winter,winter,760,core,785,winter
unfall,unfall,761,core,782,unfall
sogar,sogar,764,core,781,sogar
nähe,nähe,765,core,778,nähe
verlieren,verlieren,766,core,777,verlieren;verlor;verliert
luft,luft,770,core,776,luft
manch,manche,771,core,775,manche;manchen;mancher
tot,tot,772,core,773,tot;toten;tote
sitzen,saß,776,core,770,saß;sitzt;sitzen;sitze;gesessen
solch,solche,779,core,768,solche;solchen;solch;solcher;solches
eher,eher,780,core,766,eher
schaffen,schaffen,782,core,765,schaffen;geschafft;schafft;schaffe;geschaffen;schaffst
abendessen,abendessen,784,core,761,abendessen
nachmittag,nachmittag,785,core,761,nachmittag;nachmittags
park,park,787,core,756,park
laufen,laufen,792,core,751,laufen;läuft;lief;laufe;gelaufen;liefen
übersetzen,übersetzen,793,core,750,übersetzen;übersetzt;übersetze
zufrieden,zufrieden,794,core,750,zufrieden
bezahlen,bezahlen,796,core,749,bezahlen;bezahlt
weder,weder,797,core,748,weder
stellen,stellte,798,core,748,stellte;stellt;stell
beginnen,begann,800,core,747,begann;beginnt;beginnen;begonnen;begannen
rat,rat,801,core,746,rat;rate;raten
wald,wald,802,core,746,wald
elke,elke,804,core,746,elke
wochenende,wochenende,805,core,745,wochenende
pferd,pferd,806,core,741,pferd;pferde
geschenk,geschenk,807,core,741,geschenk;geschenke
froh,froh,809,core,738,froh
genauso,genauso,810,core,737,genauso
laut,laut,812,core,734,laut;lauter
acht,acht,813,core,733,acht
küche,küche,816,core,732,küche
könig,könig,818,core,731,könig
ruh,ruhe,820,core,730,ruhe
person,person,822,core,727,person;personen
tier,tiere,824,core,727,tiere;tier;tieren
befinden,befindet,825,core,727,befindet;befinden;befand
vertrauen,vertrauen,826,core,726,vertrauen;vertraut;vertraue
mund,mund,827,core,724,mund
geburtstag,geburtstag,829,core,722,geburtstag
traum,traum,830,core,722,traum
ziel,ziel,832,core,720,ziel;ziele
lied,lied,834,core,716,lied;lieder
wind,wind,835,core,715,wind
trug,trug,837,core,714,trug
glas,glas,838,core,714,glas;gläser
ahnung,ahnung,840,core,707,ahnung
fisch,fisch,841,core,706,fisch;fische;fischen
zuerst,zuerst,842,core,706,zuerst
verdienen,verdient,843,core,706,verdient;verdienen
damals,damals,844,core,705,damals
ständig,ständig,846,core,705,ständig
hunger,hunger,847,core,704,hunger
setzen,setzen,848,core,704,setzen;setzte;setzt;gesetzt;setz;setze
kosten,kostet,849,core,703,kostet;kosten;gekostet
preis,preis,850,core,702,preis;preise
verheiratet,verheiratet,851,core,701,verheiratet
paris,paris,853,core,699,paris
lösen,lösen,854,core,699,lösen;gelöst;löst
hut,hut,855,core,698,hut
wütend,wütend,856,core,697,wütend
bös,böse,857,core,697,böse
verlieben,verliebt,858,core,697,verliebt;verliebte
halb,halb,859,core,697,halb;halbe;halben
kunst,kunst,860,core,695,kunst
heiß,heiß,861,core,694,heiß
fleisch,fleisch,863,core,692,fleisch
heraus,heraus,864,core,692,heraus
kleid,kleid,866,core,689,kleid;kleider
ort,ort,867,core,688,ort
entscheidung,entscheidung,868,core,687,entscheidung;entscheidungen
fangen,fing,870,core,684,fing;fängt;fangen;gefangen;fange;fingen
bracht,brachte,872,core,683,brachte
ordnung,ordnung,873,core,683,ordnung
schnee,schnee,874,core,683,schnee
gesundheit,gesundheit,875,core,681,gesundheit
weinen,weinen,876,core,680,weinen;weinte;weint;geweint;weine
hotel,hotel,877,core,680,hotel
chef,chef,878,core,680,chef
herum,herum,880,core,678,herum
dessen,dessen,881,core,677,dessen
situation,situation,885,core,672,situation
erreichen,erreichen,886,core,672,erreichen;erreicht;erreichte
dumm,dumm,887,core,671,dumm;dumme;dummen
prüfung,prüfung,891,core,666,prüfung
staat,staaten,892,core,664,staaten;staat
stück,stück,893,core,664,stück;stücke
desto,desto,895,core,663,desto
dreißig,dreißig,896,core,662,dreißig
ankommen,angekommen,898,core,662,angekommen;ankommen;ankam
mama,mama,899,core,661,mama
hausaufgaben,hausaufgaben,900,core,661,hausaufgaben
tasche,tasche,901,core,661,tasche;taschen
freuen,freue,902,core,660,freue;freut;gefreut;freute
antworten,antworten,903,core,659,antworten;antwortete;geantwortet;antwortet;antworte
benutzen,benutzen,905,core,658,benutzen;benutzt;benutze
raum,raum,908,core,655,raum
hoffnung,hoffnung,909,core,654,hoffnung
bekannt,bekannt,910,core,654,bekannt;bekannte
stehlen,gestohlen,911,core,654,gestohlen;stehlen
dorf,dorf,912,core,654,dorf
ernst,ernst,913,core,653,ernst
