form,sid,alt,de_text
auch,12167326,813184;2720277;2720279,Muttersprachler fügen auch unnatürliche Übersetzungen hinzu.
keine,483361,2160370;2829142;13627026,Waffen töten keine Menschen. Menschen töten Menschen.
ihn,3456130,4724328;7479632;8815493,Sein asoziales Benehmen isolierte ihn.
warum,8039476,11332004;5865140;621436,Warum blitzt der Blitz und donnert der Donner?
diese,2469948,2692951;784146;2484274,Diese Buchreihe umfasst achtundvierzig Bände.
am,5129654,5256352;560160;13191155,Betrogene Betrüger fluchen am lautesten.
weiß,6643681,5428935;775054;13654821,"Ich weiß, worauf ich achten muss."
bei,5488158,5221394;8629193;4437225,Schreibwaren erhält man günstig bei Rossmann.
zum,1218780,2815661;12349718;12400218,Fritz gehörte zum harten Kern.
will,606899,3446339;9871985;5233701,Clive will Elektronik-Ingenieur werden.
gut,753516,783677;5285695;2085314,Gestohlenes Gut gedeiht selten gut.
über,894766,10526939;13493392;1654729,Der Patient klagt über Erschwerung der Erektion.
ihm,1354431,1542465;691393;1881241,Man unterstellte ihm unlautere Absichten.
viel,13542331,1367938;1809267;2858581,Apfelsinen enthalten viel Vitamin C.
heute,3622871,9038733;11083598;436051,Die Erdarbeiter sollen heute die Fundamentgräben ausheben.
oder,10901916,3245142;360847;554594,Überraschende oder unerwartete Anerkennung wirkt doppelt.
tun,7841825,1643172;2423660;3896720,Das sollt ihr selbständig tun!
alles,10293600,12472441;12991972;8734280,Dieser pfiffige Staubsauger schluckt alles: Staub und Flüssigkeiten.
muss,1973344,2969989;383251;8875634,Dreck muss den Misthaufen mehren.
gibt,3072757,5034388;2340133;414342,Süßer Wein gibt sauren Essig.
da,2798780,13808676;10349919;8624874,Da schwärmen die weißen Bienen!
leben,2876173,11899290;8976313;11184449,Liisas Leben hing am seidenen Faden.
wo,12363460,12985758;2581017;5773550,"Wo die Politik anfängt, endet die Anständigkeit."
daß,12569254,12569255;12642654;12642655,"Dachtest du, daß du etwas Besonderes wärst?"
machen,2276729,3101205;10248269;1944162,Gesunde Kompromisse machen aus Konflikten chronische Krankheiten.
zeit,1647677,759069;7857757;10324352,Durchdachte Lösungen sparen letztlich viel Zeit.
sagen,12486024,8231142;7871337;9413524,Nichts sagen! Laßt mich raten!
jetzt,5345690,10747203;2448511;5888935,Politische Analysten fordern jetzt die Ansprache des Präsidenten.
wer,590842,1192618;2260251;5975993,"Wer absichtlich die Zeche prellt, erhält unumgänglich Hausverbot."
bitte,6808994,714673;704624;714659,Kauf bitte eine Packung Spaghetti!
gehen,1412430,3150293;969827;12280899,Stilrichtungen und Moden kommen und gehen.
nie,11144725,701456;788710;790985,Nie Lebensmittel im Zelt aufbewahren!
mal,9690181,2157697;12549759;2299719,Fahr mal die Schubkarre ran!
doch,1253343,1268730;2152558;3401296,Christas Makeup ähnelte doch sehr an Kriegsbemalung.
menschen,5865140,784041;3054104;483361,Warum begehen kluge Menschen Torheiten?
deine,2309693,2814077;4606748;705442,"Durchsuch nochmals deine Taschen, um sicherzugehen."
wieder,3344524,11491511;3220153;6470660,Fabio: „Unbeholfene Tänzer stören immer wieder ihre Genitalien!“
möchte,719821,11868517;11868521;1922312,Bogdan Tanjevic möchte wegen Darmkrebs sein Amt aufgeben.
geld,11887888,2186466;3575564;8014509,Samis Erfindung funktionierte und generierte viel Geld.
morgen,1949100,10535675;2201301;12435779,Heut ist ein Kaufmann morgen ein Bettelmann.
einmal,644396,979094;6534982;945579,Angola war einmal portugiesisches Hoheitsgebiet.
zur,1699372,6631253;714635;8702322,Die Geschwister Scholl gehörten zur Weißen Rose.
müssen,1693354,2765179;1661695;3629802,Wir müssen Quellen erneuerbarer Energie entwickeln.
wirklich,3555532,882641;4965416;5302155,"„Merkwürdig. Wirklich sehr merkwürdig“, sagte Mark."
sehen,2599750,7799589;714326;9141680,Deine Kühe sehen elendig dürr aus.
tag,7992812,13832381;1358252;2234369,Ein Feiertag ist ein arbeitsfreier Tag.
wissen,13631437,13631440;2735091;4924254,Wissen ist ein unermesslicher Schatz.
ohne,1795744,2715245;9828541;1465482,Sie weinte stundenlang ohne aufzuhören.
kommt,1969326,5402032;1812124;1243224,Der hinkende Bote kommt hinterdrein.
dann,9524195,13016583;5989194;2365718,Dann schlachten wir das fette Schwein.
zwei,923644,2628261;365644;4266391,Ein Kilo Ketchup entspricht zwei Kilo Tomaten.
drei,662124,9005530;6149742;12912410,Die Kaution beträgt drei Monatsmieten.
hause,1368514,3900529;2929735;13079335,Sie stammt aus gutem Hause.
selbst,2760639,1511914;6168837;2061168,Nachlässigkeit richtet selbst vorzügliche Anlagen der Natur zugrunde.
bis,1435676,1890288;986127;1541758,Bis jetzt beschaute die Menschenmenge die Szene untätig.
frau,13086665,1947981;8182049;8646296,Die Frau runzelt die Stirn.
essen,8157478,10503040;13307286;10268711,Einer Studie zufolge begünstigt zu schnelles Essen Übergewicht.
haus,5303146,12393916;4804641;6933253,Vor eurem Haus parkt ein schwarzer BMW.
glaube,903907,9739607;2406765;3453121,"Ich glaube, ich habe Durchfall."
durch,11758537,1892145;2299699;13420845,Orthodoxe Christen bevorzugen die Taufe durch Untertauchen.
gerade,8636621,3531927;3702361;8702931,Hast du gerade vierzig Portionen Pudding verspeist?
arbeit,4884243,10612467;396996;703383,Bürokratische Hürden behindern unsere Arbeit.
denn,8805412,12003044;13875371;10526908,Woran hapert es denn noch?
mann,744298,13376117;1932446;1932447,"Der Mann, der herauskam, runzelte die Stirn."
gerne,1762888,1762890;3407362;778067,Ich beuge gerne schwierige Tätigkeitswörter.
welt,11144755,6772720;2804743;2914804,Snoop Dogg ist der berühmteste Kiffer der Welt.
besser,2397388,863888;1923634;9991013,Ananasbonbons schmecken besser als Traubenbonbons.
buch,8845580,6488869;7792837;1714028,Dieses Buch wiegt ein Kilogramm.
helfen,5081296,8447719;945021;11138369,"Yoga kann helfen, Stress zu mindern."
sprechen,10218697,13589463;13817183;13817192,Viele ältere Shanghainesen sprechen Shanghainesisch.
soll,913550,10705758;1574275;2141601,Schlafende Löwen soll man nicht wecken.
ins,1439981,12917243;8434899;1514546,Angenehm kühle Meeresluft strömte ins Zimmer.
lange,1709276,1716017;1946966;1830918,Wir fügen lange Beispiele hinzu.
lassen,1084421,2479409;4842094;12850059,Elektronische Bauteile lassen sich mit reinem Isopropanol reinigen.
toms,7366206,7778219;6936085;5336448,Ich schenkte Toms Warnung keinerlei Beachtung.
kinder,3327082,2330137;3004997;13051469,Die Kinder säubern die Fahrräder.
ob,2634009,2907246;2976562;10645671,Sie seufzte ob ihres traurigen Schicksals.
ganz,485018,5020400;7832407;11771740,Ellen war vom Schock ganz bleich.
ja,5798415,7423321;1030228;810969,Oswald hat ja ein dreifarbiges Meerschweinchen.
auto,1423228,383161;6595927;13420890,Das Auto vollführte eine abrupte Wendung.
oft,1937001,2140242;3061996;2824454,Zwölf Handwerke ergeben oft dreizehn Unglücke.
gestern,12561436,13702377;12841751;1857727,Sie mußten gestern ihre Miete entrichten.
anderen,616900,1685862;1785566;6148668,Der Zigarettenrauch stört die anderen Passagiere.
weg,3499417,7791340;7791341;1384941,Den Weg säumten blühende Traubenkirschen.
liebe,6740471,734536;1643378;1643879,Liebe verwandelt Einsamkeit in Sehnsucht.
einfach,1903405,8292754;5165335;5397504,Das ist einfach — das reinste Kinderspiel.
vater,7078217,11270193;1307301;1425535,"Galileos Vater, Vincenzo Galilei, war ein bekannter Musiker."
wann,780825,8235984;8529649;3944829,Wann gedenkst du mich anzurufen?
ab,1365399,3670929;404746;1239985,Die Zeitungen druckten die Proklamation ab.
französisch,3880584,804704;2938883;2938884,"Ihr sprecht alle Französisch, korrekt?"
dort,8413891,1384925;1545640;5462355,„Hier oder dort entlang?“ – „Hier entlang.“
weil,6079714,1728210;6116697;6582152,"Ich konsumiere, weil ich verbrauchen will."
niemand,13932081,2274863;2134264;3970833,Niemand konnte das mythische Schwert herausziehen.
mutter,1422976,1943640;3752797;5020358,1979 erhielt Mutter Teresa den Friedensnobelpreis.
sollte,8805395,10551078;12975377;8722473,Die Besprechung sollte möglichst zeitnah angesetzt werden.
damit,1236503,1532135;8304878;12378658,Damit löste er schallendes Gelächter aus.
schule,785334,8631410;1781820;6628717,Jane rennt manchmal zur Schule.
leute,1540471,1984152;2948900;2663883,Kranke Leute neigen zu Pessimismus.
uhr,739938,765108;1524035;6583786,Die Wasserballmannschaft trainiert um 5.30 Uhr.
lernen,3129112,2328179;2591931;7556741,Eine Fremdsprache zu lernen erfordert Durchhaltevermögen.
gehört,12497711,2163247;10012242;12653351,Die Ironbridge Gorge („Eisenbrückenschlucht“) gehört zum UNESCO-Weltkulturerbe.
unter,7583531,942645;11956352;12978834,Du stehst unter enormem Stress.
unsere,3583961,3583963;392375;1194390,Unsere berechtigte Forderung beantworteten sie abschlägig.
seit,2711118,7216389;8801239;1418117,Das Lämpchen leuchtet bereits seit mehreren Sekunden.
jeden,3046014,4073040;10236304;3418904,Messe jeden Winkel des Dreieckes.
vom,1507644,619377;2430108;3003425,In ehemaligen Bergbaugebieten künden Abraumhalden vom einstigen Kohleabbau.
hund,1804712,5804570;408564;13341373,"Tom trainierte seinen Hund, Fremde anzubellen."
andere,1557927,2347217;788843;1557936,"Honig enthält Fruktose, Glukose, Maltose, Sacharose und andere Zuckerarten."
frage,2163327,2163328;2163329;2553039,Worauf zielt diese hinterlistige Frage?
jahre,893883,9814362;2110739;2256621,Die Herrschaft von Philipp II. dauerte vierzig Jahre.
wasser,5968245,1825726;1979104;4785105,Ein Liter Wasser wiegt ein Kilogramm.
sicher,3451345,7676645;5786301;9271548,Ein verborgener Schatz liegt sicher.
vielleicht,11213694,5196847;7770816;9685902,Du redest vielleicht einen Schmarren!
sondern,3222923,624554;1865116;1948805,"Erdnüsse sind keine Nüsse, sondern Hülsenfrüchte."
sprache,12684178,13029097;13822944;13958735,Lateinische Dichtung nutzte zur Lebenszeit der Sprache quantitierende Verse.
beim,915214,461729;11969227;10081363,Der Hahn kräht beim Sonnenaufgang.
jemand,8496589,5987856;6013491;5956571,Jemand hat meinen Kommentar gelöscht.
zimmer,3897818,1942626;6021198;1439981,Das FBI verwanzte das Zimmer des Kriminellen heimlich.
freund,7251399,13231713;1854442;2157280,Sami war Farids bester Facebook-Freund.
abend,2698851,3587356;3587357;3453322,Heute Abend in umgekehrter Reihenfolge.
zurück,6149599,3615274;8935334;2730357,Lania kehrte nach Kairo zurück.
gar,7850228,792711;4948430;9844824,Beachten Sie sie gar nicht!
stadt,2672721,594879;5992092;9084112,Hamburg ist Deutschlands zweitgrößte Stadt.
allein,1851804,5113103;6083638;11069532,Bob muss diese Zerreißprobe allein durchstehen.
davon,7452657,7452658;2782504;4695460,Tom bekäme davon eine Depression.
schnell,10534271,12427941;562304;831300,Die Zivilisation schreitet schnell voran.
recht,12752109,2337836;602790;6107535,"„Wau, wau, wau, wau!“ – „Recht hast du, Bello!“"
mädchen,3316735,13374522;2948927;766696,Fröhlich singend flochten die Mädchen aus Weidenruten Körbe.
angst,8977062,9136885;2943726;11079503,Diese Hündin zittert vor Angst.
bleiben,13389049,5073920;5656574;2173004,Die Verbraucher bleiben verunsichert und irritiert.
denke,1983080,8335035;8682463;9933320,"Ich denke, also wisch ich."
wahrheit,3013101,663251;3253371;604688,"Die Wahrheit, offen ausgesprochen, schmerzt."
schön,2890507,8867941;10732338;3997365,"Du erzählst sehr schön, märchenhaft schön."
wohl,1948766,595584;902853;6071264,Häßliche Weiber hüten das Haus wohl.
vergessen,7633644,9988127;12484454;3254618,"Ich habe vergessen, Schreibutensilien mitzubringen."
finden,13936521,13936522;8634466;1902330,Ich will irgendeinen interessanten Stoff finden.
steht,12255549,12472459;8314426;12590512,UFO steht für „unidentifiziertes Flugobjekt“.
fast,7233573,8076373;7857709;10004076,Griechische Statuen sind fast immer nackt.
nacht,9701854,1467911;2917530;12276190,Die Kerze brannte die ganze Nacht.
fehler,9975649,1199548;2606127;3012495,Diese Fehler entstehen aus winzigen Unaufmerksamkeiten.
kaufen,833375,13773221;444353;12816298,Langes Feilschen zwingt nicht zum Kaufen.
gegen,1759732,1864918;2298174;7365829,Barmherzigkeit gegen Wölfe ist Grausamkeit gegen Schafe.
warten,2994739,7459520;1831295;8295161,"Warten Sie, schießen Sie nicht!"
wahr,371852,394245;6375556;2934180,"Eine herrliche Aussicht, nicht wahr?"
paar,12454089,12454090;8791571;9984831,Ein paar Insassen griffen Elias an.
fahren,9472559,13348743;13958447;403670,Die Züge fahren nachts seltener.
augen,353298,9448493;2717784;4892455,Seine Augen verrieten seine Furcht.
woche,1383736,4339517;8651371;11935256,In dieser Woche gelten reduzierte Preise.
weißt,12695741,12737386;7680459;12023457,"Weißt du, worauf du dich da einläßt?"
problem,7856646,979910;12907879;2378608,Alkoholkonsum Minderjähriger ist ein ernstzunehmendes Problem.
zusammen,761951,2601782;5233178;969219,Der Fuchs und der Bär lebten zusammen.
eltern,5767839,5767840;6196896;2068515,Marias Eltern haben komplett durchgedreht.
alt,1055521,425573;6110370;1245975,"2012 ist ""Maggi-Würze"" 125 Jahre alt."
neue,13629381,1617634;3140873;6149742,Beim Scrollen erscheinen neue Inhalte.
englisch,1528309,366475;7001703;397774,Sie lernte mit großem Eifer Englisch.
tür,7983874,816676;5184985;851638,Sophie wird an Claudias Tür klopfen.
land,12420861,1910328;8636897;2121323,„La La Land“ wurde irrtümlicherweise als Sieger verkündet.
genug,6997087,7483387;13043250;2167678,Sie bekamen nicht genug voneinander.
hilfe,1532115,1801265;7186813;3226920,"Johnston verblutete, bevor ihn Hilfe erreichte."
welche,13409121,6603035;7808030;7825490,Welche Windows-Version verwendest du?
erst,7140241,13119931;6115123;5989194,Der Motor muss erst warmlaufen.
passiert,5113839,2064463;3556150;4983360,"Was passiert ist, ist passiert.- Geschehen ist geschehen."
reden,3220166,3973199;13049713;6606860,Das übermäßige Reden ermüdete mich.
darüber,13467503,3412124;5133556;5243977,Darüber haben alle Zeitungen berichtet.
daran,4110593,937526;12463783;13038895,Er fürchtete die bloße Erinnerung daran.
dies,994116,3309896;7808751;915913,"Dies ist eine alberne, überflüssige Fibonacci-Silbenfolge."
darf,5656574,1956748;4216716;12601756,Kein Finanzmarkt darf Wildwest-Gebiet bleiben.
bekommen,1433945,1297253;1970588;674747,"Diogenes probierte nicht, Bewunderung zu bekommen."
lesen,3887969,4938503;644586;1487073,"Lehrt mich das Lesen, Meister!"
schwer,8942800,2826170;3500489;1312325,Menschen ausländischer Herkunft sind schwer betroffen.
wort,10041832,13277791;10852323;11557179,Das russische Wort „jarmarka“ ist holländischen Ursprungs.
große,2664240,651623;6865496;12384739,Große Kälte schadet den Kirschblüten.
dachte,7000049,8968810;8968812;8968814,"Ich dachte, ich wär’ allein."
je,10811996,1070713;2909791;11183319,"Je tiefer die Eindrücke, desto ausdrucksvoller die Prägung."
bruder,836092,9949967;1589491;691752,Mein Bruder polierte das Silber.
scheint,5866975,8301830;13823314;11783791,Hier scheint ein Missverständnis vorzuliegen.
glücklich,3133071,7742144;9814473;4454276,Und sie lebten glücklich immerdar.
zwischen,631897,12337500;3132603;3327742,Zwischen zwei Zwetschgenzweigen zwitschern zwei Zwitscher-Schwalben.
gleich,777882,10959759;2202493;8638722,Diese Eiswürfel werden gleich schmelzen.
darauf,4261319,475547;7999359;13024747,Darauf kann ich dankend verzichten.
dafür,5301606,661643;13340671;1975850,Zahlreiche Beispiele können dafür angeführt werden.
braucht,2423167,10098208;10763019;7577437,"Die meiste Nachsicht übt der, der die wenigste braucht."
liegt,699182,7060165;8653544;4659739,Hokkaidō liegt nördlich von Sendai.
spielen,607269,9997530;5979292;8096512,Mein liebster Zeitvertreib ist Go spielen.
ende,4736077,1308499;11354773;369500,Sie kehrt Ende des Monats heim.
bald,917288,1918422;11784551;1956474,Die Wahlergebnisse werden bald analysiert werden.
während,13887364,438820;6447006;5129644,"Ich schwieg, während ich litt."
dazu,1511384,2837346;1964045;2201665,"Geschickte Diplomatie trägt dazu bei, Kriege abzuwenden."
kaffee,12871074,12910914;2405947;9826374,"„Kaffee?“ – „Nein, lieber ’nen Whisky.“"
früher,5844872,3373196;416122;974931,Angola war früher ein portugiesisches Gebiet.
nein,5749835,674747;609928;906468,"„Sind das Holländer?“ – „Nein, das sind Belgier.“"
nehmen,12369784,1977765;2948130;913640,Viele angehende Weihnachtsmänner nehmen speziellen Unterricht.
einige,527114,7233649;1917766;4922721,Einige Geschäfte senken die Preise.
gefällt,8064632,8292997;3761290;6148668,Baden-Württemberg gefällt mir besser.
arbeiten,12050647,13768240;3690067;1933424,Die Götter arbeiten für die CIA.
hoffe,2829710,369562;8508737;3062548,"Ich hoffe, ich irre mich."
gefallen,8317386,8861699;4638865;10294689,Dem Kaninchen gefallen die Karotten.
heißt,6331272,9969228;9991808;1619139,Der höchste Vulkan Europas heißt Ätna.
australien,7453025,8096645;2705323;6173074,"Tom hofft, nach Australien zurückzukehren."
schwester,13471762,5719677;900478;5989868,Linda ist Michaels nervige kleine Schwester.
gefunden,359424,8941304;13218263;6533656,Meg hat ein vierblättriges Kleeblatt gefunden.
geschichte,11151391,2451890;13584348;1811948,Geschichte ist irreparable Politik: Politik manipulierbare Geschichte.
verstehen,8602787,8848251;12604017;2353799,Wang und Li verstehen sich gut.
einzige,11771653,13609202;2766816;3711098,Zuversicht ist das einzige retional zulässige Lebensgefühl.
meinung,4799246,5966500;662211;2173076,Du änderst Deine Meinung minütlich.
überhaupt,8745762,13185769;787255;935071,Ich übernehme überhaupt keine Verantwortung.
katze,12000036,1658018;3759413;11971772,Die Schwarzfußkatze ist die kleinste afrikanische Katze.
spät,3263545,3263548;8639271;1307301,Der Befehl erging zu spät.
bett,3089104,3760523;4952663;379601,Die Hausschuhe sind unterm Bett.
verloren,12182200,3135640;7939620;10929971,Hunderte Menschen verloren ihre Lebensgrundlage.
zug,7281361,8075029;5107162;1836946,"Bedauere, der Zug hatte Verspätung."
familie,6301817,438346;1638108;12432508,Unsere Familie braucht siebzehn Stühle.
gott,12380783,1528188;406734;4783876,Gott beschützt Narren und Betrunkene.
letzte,12154945,11145509;10906477;3310350,Die letzte Gewinnzahl ist die Fünfundvierzig.
wegen,2168298,2491264;4442516;12432443,Pekka wurde wegen Vergewaltigung verurteilt.
brief,4737461,655038;13667825;2026842,Schick den Brief per Express.
dabei,5511591,396573;8447719;945021,Es kann dabei vieles schiefgehen.
glück,4870419,8106789;1729973;1643825,Spinne am Mittag — Glück am Dritttag.
dinge,12420760,389132;4873407;6400658,Traurige Dinge vergesse ich beim Einschlafen.
satz,7074073,8966606;2115818;2615063,Dieser Satz erscheint sehr reißerisch.
hand,6139759,13878181;8726303;1793826,Sensen dienen zum Rasenmähen per Hand.
lehrer,1878559,730828;8188424;11036558,Viele Gemeinden amerikanischer Ureinwohner benötigen Ärzte und Lehrer.
junge,1219221,10503982;1545047;9996703,Dieser junge Schauspieler ist James Dean.
leicht,10109094,1996488;3086374;1021357,Trockene Blätter sind leicht entzündlich.
genau,1107016,12023457;2115818;5244273,Der Luftfahrtexperte analysierte die Statistiken genau.
zehn,2182617,2182639;5122790;12680659,Zehn Jahrhunderte bilden ein Jahrtausend.
wenig,1399252,6468688;1912473;5959123,Seine weitschweifigen Erklärungen sind wenig hilfreich.
namen,7806615,1870685;8314420;9135601,Setze deinen Namen aufs Formular!
schreiben,966165,11793240;2674308;272,Schreiben Sie ihr Geburtsdatum hierhin.
fertig,13748560,8937245;12536700;12536702,Die Ente ist fertig gebraten.
fenster,9171799,9210246;3568199;10473807,Das Mädchen zerbrach das Fenster.
kaum,11043364,12088370;8297938;13475292,Kaum etwas in Avonlea entging Mrs. Lynde.
kennt,2453145,3472992;13739775;8444315,Maria kennt die klassischen chinesischen Texte auswendig.
sohn,3707816,11942217;11942219;1800437,Mein Sohn ist mein größter Kopfschmerz.
bringen,10797259,12454753;10673248;2160370,Diese Felder bringen reiche Ernte.
eigentlich,5992393,8116288;2134807;4740236,Bildung heißt eigentlich immer Charakterbildung.
danke,6775406,7121716;3235086;1010484,Danke für dein soziales Engagement.
trinken,14008947,9587176;10621755;5389480,Sie husten. Trinken Sie diesen Kräutertee.
hin,373,8047392;8861712;10349537,Hin- und Rückfahrt? Nur Hinfahrt.
fünf,13824039,2762608;756057;1918453,Fünf zum Quadrat ergibt fünfundzwanzig.
richtig,9696537,10716110;12574031;1552144,Ist deine Kopfstütze richtig eingestellt?
bevor,11093772,2223555;3372339;13816415,"Adam war androgyn, bevor Eva erschaffen wurde."
straße,7666118,772416;8387246;13725253,Entlang der Straße wurden Kirschbäume gepflanzt.
kopf,4690063,4892504;6569169;1624490,Das Unfallopfer erlitt Verletzungen am Kopf.
beide,6631564,8290387;13929959;1658136,Wir beide besitzen ein nettes Heim.
halten,12005783,1273403;1194919;10004563,Kirchen halten Gottesdienste über Youtube ab.
treffen,2499607,943024;12099605;2469474,"Egoisten treffen nicht aufeinander, sondern kollidieren."
ziemlich,13981299,1734768;5717014;655088,Kugelblitze sind eine ziemlich seltene Erscheinung.
sofort,13758019,643863;6470660;9966413,Markus hat Jessica sofort verziehen.
weiter,12264451,13149078;1293502;8329380,Israel baut die Trennmauer im Westjordanland weiter.
leid,8223364,5567068;2830359;810730,"Freud muss Leid, Leid muss Freude haben."
manchmal,8850991,10625831;1508146;4417877,Manchmal ist der Stier der Gewinner.
müde,1236145,2142799;2748462;2727048,Sind Protestanten der Bibel müde?
schlafen,1475678,3026124;3062509;719077,Tausende Menschen schlafen bei Eiseskälte im Freien.
bus,704583,351284;372378;594429,Im Bus waren fünfzig Fahrgäste.
wichtig,2523258,9701897;13388422;3574895,Finanzielle Entscheidungen sind sehr wichtig.
sonst,365933,461744;2405176;3300283,"Lauf, sonst verspätest du dich."
nun,9826583,13363016;670567;601582,Fakten sind nun einmal Fakten.
arzt,981899,1787812;2240889;10756956,Ein Arzt untersuchte Herrn Brown.
stunden,8875960,9004798;12711783;2484662,Die Operation dauerte drei Stunden.
bisschen,890350,13401860;9207397;948000,Kauf auf deinem Heimweg ein bisschen Tofu.
tisch,1336136,4683520;817024;1860058,Maru kroch unter dem Tisch hervor.
sorgen,1729910,2622579;2789818;6079687,Hochmut bringt Kummer und Sorgen.
hinter,12927693,1796415;2406756;726927,Die Verhandlungen fanden hinter verschlossenen Türen statt.
eure,13808393,5244039;1600958;2309696,Eure Singerei bereitet mir Kopfschmerzen.
glaubt,7958797,8223169;8473073;13310838,"Glaubt ihr, dass ihr klarkommt?"
sonne,13823314,4974458;4974460;13427614,"Die Sonne scheint, die Zikaden zirpen – herrlich!"
krank,8108946,951481;13873177;8796076,Jedes dritte Schaf ist krank.
beste,2145561,2186924;3125975;7548975,Der fünfte Sketsch ist der drammaturgisch beste.
bereits,2732751,2711118;741310;6561888,Die angegebene Netzpostadresse ist bereits registriert.
nächsten,11064341,11588291;12547866;10190111,Du gehörst zur nächsten Generation.
meisten,8886145,1552724;1718235;6991175,Die meisten Egoisten sind ehemalige Altruisten.
antwort,4640749,7814937;5491294;9787523,Ich erwarte baldmöglichst eure Antwort.
sprachen,13038435,2223724;1453566;12783603,"Estnisch, Finnisch und Ungarisch sind finno-ugrische Sprachen."
schlecht,947343,2825995;12299904;2348388,Ich kann extrem schlecht rückwärts einparken.
tat,12017626,7745593;2868587;1277157,Seine großmütige Tat ist wahrhaftig lobenswert.
los,5204668,659787;8639158;13970358,"Los, los! Nur keine Schüchternheit!"
schwimmen,7309997,12021781;4848388;4848390,Ich interessiere mich für's Schwimmen.
