form,rank,lemma,group_id,method
lebt,456,leben,leben,verb
machte,457,machen,machen,dictionary
sorgen,458,sorgen,sorgen,ungrouped
mach,459,machen,machen,dictionary
hinter,460,hinter,hinter,ungrouped
frauen,461,frau,frau,declension
lässt,462,lassen,lassen,dictionary
freundin,463,freund,freund,dictionary
eure,464,euer,euer,dictionary
beiden,465,beide,beide,dictionary
glaubt,466,glauben,glauben,dictionary
musste,467,müssen,müssen,dictionary
sonne,468,sonn,sonn,declension
alte,469,alt,alt,declension
später,470,spät,spät,declension
krank,471,krank,krank,ungrouped
sehe,472,sehen,sehen,verb
würden,473,werden,werden,participle
stehen,474,stehen,stehen,ungrouped
beste,475,best,best,declension
bereits,476,bereits,bereits,dictionary
gib,477,geben,geben,dictionary
hättest,478,haben,haben,dictionary
nächsten,479,nah,nah,dictionary
meisten,480,meist,meist,declension
antwort,481,antwort,antwort,ungrouped
gegeben,482,geben,geben,participle
könnten,483,können,können,dictionary
sprachen,484,sprach,sprach,declension
schlecht,485,schlecht,schlecht,ungrouped
deinem,486,dein,dein,declension
tat,487,tat,tat,ungrouped
arbeitet,488,arbeiten,arbeiten,verb
los,489,los,los,ungrouped
schwimmen,490,schwimmen,schwimmen,ungrouped
könnt,491,können,können,verb
tochter,492,tochter,tochter,ungrouped
minuten,493,minute,minute,dictionary
beschäftigt,494,beschäftigen,beschäftigen,verb
fragte,495,fragen,fragen,dictionary
also,496,also,also,ungrouped
alter,497,alt,alt,declension
musik,498,musik,musik,ungrouped
niemals,499,niemals,niemals,ungrouped
liebt,500,lieben,lieben,dictionary
film,501,film,film,ungrouped
neues,502,neu,neu,declension
vielen,503,viel,viel,declension
draußen,504,draußen,draußen,ungrouped
warst,505,sein,sein,participle
wagen,506,wagen,wagen,ungrouped
verlassen,507,verlassen,verlassen,ungrouped
wohnt,508,wohnen,wohnen,verb
grund,509,grund,grund,ungrouped
garten,510,garten,garten,ungrouped
kleine,511,klein,klein,declension
herr,512,herr,herr,ungrouped
kennen,513,kennen,kennen,ungrouped
besteht,514,bestehen,bestehen,verb
besten,515,gut,gut,dictionary
unserer,516,unser,unser,declension
keiner,517,kein,kein,declension
versucht,518,versuchen,versuchen,verb
stelle,519,stell,stell,declension
erde,520,erd,erd,declension
möglich,521,möglich,möglich,ungrouped
würdest,522,werden,werden,dictionary
isst,523,essen,essen,dictionary
tod,524,tod,tod,ungrouped
marias,525,maria,maria,plural
sache,526,sache,sache,dictionary
spaß,527,spaß,spaß,ungrouped
vier,528,vier,vier,ungrouped
jungen,529,jung,jung,declension
möchtest,530,mögen,mögen,dictionary
bleibt,531,bleiben,bleiben,verb
deutschland,532,deutschland,deutschland,ungrouped
spielt,533,spielen,spielen,verb
himmel,534,himmel,himmel,ungrouped
spiel,535,spiel,spiel,ungrouped
endlich,536,endlich,endlich,ungrouped
glaubst,537,glauben,glauben,dictionary
anders,538,anders,anders,ungrouped
idee,539,idee,idee,ungrouped
könntest,540,können,können,dictionary
verstehe,541,verstehen,verstehen,verb
stunde,542,stund,stund,declension
gelesen,543,lesen,lesen,participle
jede,544,jeder,jeder,dictionary
geboren,545,gebären,gebären,dictionary
reich,546,reich,reich,ungrouped
versuchen,547,versuchen,versuchen,ungrouped
schöne,548,schön,schön,declension
weniger,549,wenig,wenig,declension
kalt,550,kalt,kalt,ungrouped
gelernt,551,lernen,lernen,participle
licht,552,licht,licht,ungrouped
stand,553,stand,stand,ungrouped
brot,554,brot,brot,ungrouped
alten,555,alt,alt,declension
herz,556,herz,herz,ungrouped
hörte,557,hören,hören,dictionary
wahrscheinlich,558,wahrscheinlich,wahrscheinlich,ungrouped
denen,559,den,den,declension
kleinen,560,klein,klein,declension
gesprochen,561,sprechen,sprechen,participle
getroffen,562,treffen,treffen,participle
lieben,563,lieb,lieb,declension
ließ,564,lassen,lassen,dictionary
her,565,her,her,ungrouped
tee,566,tee,tee,ungrouped
machst,567,machen,machen,verb
eigenen,568,eigen,eigen,dictionary
worte,569,wort,wort,declension
seite,570,seite,seite,ungrouped
brauchst,571,brauchen,brauchen,verb
wünschte,572,wünschen,wünschen,dictionary
jemanden,573,jemand,jemand,declension
japan,574,japan,japan,ungrouped
anderes,575,andere,andere,plural
kurz,576,kurz,kurz,ungrouped
polizei,577,polizei,polizei,ungrouped
bestimmt,578,bestimmen,bestimmen,verb
komm,579,kommen,kommen,dictionary
außer,580,außer,außer,ungrouped
stimmt,581,stimmt,stimmt,ungrouped
stellen,582,stell,stell,declension
sage,583,sagen,sagen,verb
baum,584,baum,baum,ungrouped
deutsch,585,deutsch,deutsch,ungrouped
meines,586,mein,mein,declension
sami,587,sami,sami,ungrouped
esperanto,588,esperanto,esperanto,ungrouped
wetter,589,wett,wett,declension
mögen,590,mögen,mögen,ungrouped
fährt,591,fahren,fahren,dictionary
gedacht,592,gedacht,gedacht,ungrouped
männer,593,mann,mann,dictionary
jedes,594,jeder,jeder,dictionary
erzählt,595,erzählen,erzählen,verb
stimme,596,stimm,stimm,declension
fahrrad,597,fahrrad,fahrrad,ungrouped
gutes,598,gut,gut,declension
siehst,599,sehen,sehen,dictionary
gesicht,600,gesicht,gesicht,ungrouped
kommst,601,kommen,kommen,verb
schuhe,602,schuh,schuh,declension
probleme,603,problem,problem,declension
platz,604,platz,platz,ungrouped
langsam,605,langsam,langsam,ungrouped
denkt,606,denken,denken,dictionary
art,607,art,art,ungrouped
fand,608,finden,finden,dictionary
krieg,609,krieg,krieg,ungrouped
falsch,610,falsch,falsch,ungrouped
schüler,611,schüler,schüler,ungrouped
monat,612,monat,monat,ungrouped
zeigen,613,zeigen,zeigen,ungrouped
zukunft,614,zukunft,zukunft,ungrouped
muß,615,muß,muß,ungrouped
sterben,616,sterben,sterben,ungrouped
sagten,617,sagen,sagen,dictionary
bier,618,bier,bier,ungrouped
sommer,619,sommer,sommer,ungrouped
denkst,620,denken,denken,dictionary
völlig,621,völlig,völlig,ungrouped
schlüssel,622,schlüssel,schlüssel,ungrouped
bereit,623,bereit,bereit,ungrouped
erfolg,624,erfolg,erfolg,ungrouped
hält,625,halten,halten,dictionary
fall,626,fall,fall,ungrouped
bringt,627,bringen,bringen,verb
lust,628,lust,lust,ungrouped
milch,629,milch,milch,ungrouped
egal,630,egal,egal,ungrouped
menge,631,menge,menge,ungrouped
wem,632,wer,wer,dictionary
jung,633,jung,jung,ungrouped
tragen,634,tragen,tragen,ungrouped
leider,635,leid,leid,declension
hört,636,hören,hören,verb
bedeutet,637,bedeuten,bedeuten,verb
wert,638,wert,wert,ungrouped
plan,639,plan,plan,ungrouped
seines,640,sein,sein,declension
besuchen,641,besuchen,besuchen,ungrouped
wein,642,wein,wein,ungrouped
teil,643,teil,teil,ungrouped
zwar,644,zwar,zwar,ungrouped
wollt,645,wollen,wollen,verb
klar,646,klar,klar,ungrouped
welches,647,welcher,welcher,dictionary
etwa,648,etwa,etwa,ungrouped
wohin,649,wohin,wohin,ungrouped
gehst,650,gehen,gehen,verb
versuchte,651,versuchen,versuchen,dictionary
interessiert,652,interessieren,interessieren,verb
erinnern,653,erinnern,erinnern,ungrouped
telefon,654,telefon,telefon,ungrouped
bild,655,bild,bild,ungrouped
trägt,656,tragen,tragen,dictionary
gedanken,657,gedanke,gedanke,dictionary
suchen,658,suchen,suchen,ungrouped
geh,659,gehen,gehen,dictionary
sätze,660,satz,satz,dictionary
findet,661,finden,finden,verb
fuß,662,fuß,fuß,ungrouped
nachricht,663,nachricht,nachricht,ungrouped
lasst,664,lassen,lassen,verb
bat,665,bitten,bitten,dictionary
lebens,666,leben,leben,plural
hielt,667,halten,halten,dictionary
nächste,668,nah,nah,dictionary
weise,669,weis,weis,declension
fest,670,fest,fest,ungrouped
blumen,671,blume,blume,dictionary
fällt,672,fällen,fällen,verb
darin,673,darin,darin,ungrouped
gewöhnlich,674,gewöhnlich,gewöhnlich,ungrouped
darum,675,darum,darum,ungrouped
bahnhof,676,bahnhof,bahnhof,ungrouped
fühle,677,fühlen,fühlen,dictionary
ändern,678,ändern,ändern,ungrouped
sinn,679,sinn,sinn,ungrouped
schuld,680,schuld,schuld,ungrouped
sechs,681,sechs,sechs,ungrouped
feuer,682,feu,feu,declension
büro,683,büro,büro,ungrouped
woher,684,woher,woher,ungrouped
vorbei,685,vorbei,vorbei,ungrouped
halte,686,halten,halten,verb
hände,687,hand,hand,dictionary
frei,688,frei,frei,ungrouped
arm,689,arm,arm,ungrouped
obwohl,690,obwohl,obwohl,ungrouped
nachdem,691,nachdem,nachdem,ungrouped
gewinnen,692,gewinnen,gewinnen,ungrouped
neben,693,neben,neben,ungrouped
fluss,694,fluss,fluss,ungrouped
jedem,695,jeder,jeder,dictionary
möchten,696,mögen,mögen,dictionary
spreche,697,sprechen,sprechen,verb
rauchen,698,rauchen,rauchen,ungrouped
wohnen,699,wohnen,wohnen,ungrouped
computer,700,computer,computer,ungrouped
versteht,701,verstehen,verstehen,verb
wohnung,702,wohnung,wohnung,ungrouped
all,703,all,all,ungrouped
meer,704,meer,meer,ungrouped
regen,705,regen,regen,ungrouped
hör,706,hören,hören,dictionary
hoch,707,hoch,hoch,ungrouped
aller,708,all,all,declension
montag,709,montag,montag,ungrouped
dollar,710,dollar,dollar,ungrouped
erklären,711,erklären,erklären,ungrouped
stolz,712,stolz,stolz,ungrouped
name,713,name,name,dictionary
sieben,714,sieben,sieben,ungrouped
lachen,715,lachen,lachen,ungrouped
hab,716,haben,haben,participle
natürlich,717,natürlich,natürlich,ungrouped
verstanden,718,verstehen,verstehen,dictionary
länger,719,lang,lang,dictionary
sprach,720,sprechen,sprechen,dictionary
allem,721,allem,allem,dictionary
reise,722,reis,reis,declension
kuchen,723,kuchen,kuchen,ungrouped
haare,724,haar,haar,declension
fiel,725,fallen,fallen,dictionary
natur,726,natur,natur,ungrouped
lage,727,lag,lag,declension
unterschied,728,unterschied,unterschied,ungrouped
großer,729,groß,groß,declension
statt,730,statt,statt,ungrouped
klein,731,klein,klein,ungrouped
zog,732,ziehen,ziehen,dictionary
stark,733,stark,stark,ungrouped
gebeten,734,beten,beten,participle
gestorben,735,gestorben,gestorben,ungrouped
heiraten,736,heiraten,heiraten,ungrouped
dorthin,737,dorthin,dorthin,ungrouped
singen,738,singen,singen,ungrouped
erfahren,739,erfahren,erfahren,ungrouped
besonders,740,besonders,besonders,ungrouped
gegenüber,741,gegenüber,gegenüber,ungrouped
selten,742,selt,selt,declension
gefragt,743,gefragt,gefragt,ungrouped
kindern,744,kind,kind,dictionary
überrascht,745,überraschen,überraschen,verb
rede,746,reden,reden,verb
moment,747,moment,moment,ungrouped
plötzlich,748,plötzlich,plötzlich,ungrouped
esse,749,essen,essen,verb
gleiche,750,gleich,gleich,declension
freude,751,freude,freude,dictionary
voller,752,voll,voll,declension
schwierig,753,schwierig,schwierig,ungrouped
wieviel,754,wieviel,wieviel,ungrouped
boden,755,boden,boden,ungrouped
überall,756,überall,überall,ungrouped
erwartet,757,erwarten,erwarten,verb
krankenhaus,758,krankenhaus,krankenhaus,ungrouped
geschehen,759,geschehen,geschehen,ungrouped
winter,760,winter,winter,ungrouped
unfall,761,unfall,unfall,ungrouped
alleine,762,allein,allein,declension
seien,763,sein,sein,dictionary
sogar,764,sogar,sogar,ungrouped
nähe,765,nähe,nähe,ungrouped
verlieren,766,verlieren,verlieren,ungrouped
tatoeba,767,tatoeba,tatoeba,ungrouped
schien,768,scheinen,scheinen,dictionary
nimmt,769,nehmen,nehmen,dictionary
luft,770,luft,luft,ungrouped
manche,771,manch,manch,declension
tot,772,tot,tot,ungrouped
nimm,773,nehmen,nehmen,dictionary
dürfen,774,dürfen,dürfen,ungrouped
lernt,775,lernen,lernen,verb
saß,776,sitzen,sitzen,dictionary
erzählen,777,erzählen,erzählen,ungrouped
warte,778,warten,warten,verb
solche,779,solch,solch,declension
eher,780,eher,eher,ungrouped
größer,781,groß,groß,dictionary
schaffen,782,schaffen,schaffen,ungrouped
kennst,783,kennen,kennen,dictionary
abendessen,784,abendessen,abendessen,ungrouped
